time_seconds,event,vehicles,queue,waiting_time,throughput,fuel,co2,emergency_delay,qaoa_time,plans
0,NORMAL,2.0,0.0,0.0,0.0,0.009,0.024,0.0,18.088663,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
60,SCHOOL_PEAK,13.05,3.0,15.0,0.0,0.582,1.507,0.0,17.275098,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
120,TEXTILE_FESTIVAL+CROWD_SURGE,22.935,12.468,88.875,3.0,3.212,8.274,0.0,18.078589,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
180,VEHICLE_OBSTRUCTION,21.5,10.5,88.4,9.0,3.189,8.214,0.0,18.442828,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
240,ACCIDENT,19.9,6.6,54.5,11.0,1.995,5.144,0.0,17.621394,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
300,AMBULANCE,21.0,12.0,88.0,9.0,3.172,8.172,60.0,0.0,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
360,RECOVERY,22.0,11.9,168.35,9.0,5.989,15.415,0.0,17.501493,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
420,NORMAL,22.0,8.0,61.0,10.0,2.232,5.754,0.0,17.164404,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
480,NORMAL,19.0,8.0,61.0,13.0,2.219,5.718,0.0,17.376816,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
540,NORMAL,19.0,8.0,69.0,9.0,2.499,6.438,0.0,17.204102,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
600,NORMAL,17.0,8.0,70.0,11.0,2.525,6.504,0.0,17.139361,"{'J1': 'PLAN_3', 'J2': 'PLAN_2', 'J3': 'PLAN_2', 'J4': 'PLAN_1'}"
